sentiment,review;
Negative;"Man, this was hilarious. It should be under COMEDY. Or STUPID. It would have made realizing what a pile of stank this was much easier. Seriously? I want anyone associated with this movie tased, effective immediately. For everyone who is thinking of watching this 'movie', let's go over a few plot points. Oh, wait. There aren't any. There is literally no plot. I think Casper Van Dien was bored, and he decided to film something with some random someones, and miraculously, it somehow got on videotape. This movie is literally the worst movie of all time. Don't believe me? Go watch it. Do it, man. I dare you. But be prepared to gouge your eyes out. If you can sit through this without blowing a cow, you are very strong and courageous.';
Negative;"Though a bit more polished technically than the previous film in the series, BULLDOG DRUMMOND ESCAPES, this is a weaker escapade in both a plot that's less thrilling and a leading man who simply doesn't have the charisma of Ray Milland.  That said, several actors and characters continue in their roles and manage to keep the flag flying. Also John Barrymore is present, popping up all through the film in a variety of outlandish disguises.  Anyway it's another endless night for BD as he and his cohorts chase around trying to rescue the poor girl he intends to marry. The clues are stupid but again the supporting actors often make them entertaining.';
Negative;"...but a lousy film. As Maltin says this was Christopher Lee's attempt to make a serious horror film. Well, it is serious...TOO serious! The plot is silly and slow (something about old people inhabiting the bodies of young children to achieve immortality)...the film is all talk talk talk talk talk talk talk about the same things over and over again. I actually dozed off a few times! The film is sooooo dull! The cast sleepwalks through this with the sole exceptions of Peter Cushing and Lee...but this was probably a labor of love for both (they often complained about horror movies being too violent...well, this has NO violence!). Avoid at all costs...unless you have insomnia...this will put you to sleep!';
Negative;"This is the most depressing film I have ever seen. I first saw it as a child and even thinking about it now really upsets me. I know it was set in a time when life was hard and I know these people were poor and the crops were vital. Yes, I get all that. What I find hard to take is I can't remember one single light moment in the entire film. Maybe it was true to life, I don't know. I'm quite sure the acting was top notch and the direction and quality of filming etc etc was wonderful and I know that every film can't have a happy ending but as a family film it is dire in my opinion.  I wouldn't recommend it to anyone who wants to be entertained by a film. I can't stress enough how this film affected me as a child. I was talking about it recently and all the sad memories came flooding back. I think it would have all but the heartless reaching for the Prozac.';
Negative;"I'm kinda torn on DARK ANGEL. The film appears to be a 'loving' tribute to the greatest pin-up to ever live - but there is so little actual 'content' that the film itself is virtually pointless. I can't really see what the motivation or 'point' of this film is - as there is very little biographical information provided in the narrative - so those who don't know much about Bettie aren't gonna know much more after watching DARK ANGEL either...  The film basically chronicles the last few years of Bettie's career in bondage modeling. Almost the entire film is comprised of 're-enactments' of some of Bettie's more 'famous' photo-shoots and loops. These re-enactments take up literally 75% of the films run-time, and give virtually no insight into Bettie as a person. The film touches briefly on her short-lived legitimate acting pursuits, and her subsequent decision to leave the 'business' and become religious - but all of this is pretty much glossed-over in favor of showing long and drawn-out re-enactment scenes...  DARK ANGEL isn't a horrible film - there's just no substance to it. The other problem is that the actress that plays Bettie only really resembles her in farther away shots - up-close it's a no-go. The other thing that irritated me, is that although Bettie did several topless modeling shoots - the only nudity in the film was a short segment shot in a zoo during the end credits. The film itself is obviously extremely low-budget, but does what it can set and costume-wise within it's limitations - so no gripes from me there. The acting is pretty wooden and unmemorable from everyone involved. In fact - the most memorable thing about the whole film for me, was noticing during the end credits that the actor who played Irving Klaw's real name is Dukey Flyswatter. No joke - check the cast list. Can't say that I recommend this one too highly unless you are a true Bettiefile completist and must own anything relating to her. And if you are that bad off - then you need to seek treatment anyway...4/10';
Negative;"Really, it's nothing much. I only recommend watching it if";" 1.) You're a big fan of any of the main stars. 2.) If you really want to check out the first time Lucille Ball was seen with red hair.  4 out of 10 stars'
Negative;"Neat premise. Very unrealistic. What I learned from this movie is that speeding crazily out of control to go to the weekend cabin may not be the best idea after all. I loved how Bill conveniently rolls out of the car and down the hill with no injury at all! Unfortunately, the same can't be said for his gal. Oh, and the police never seemed to find the car or trace the owner of the wreck.  Lots of dragged out scenes including a plain stripper (still have nightmares from that scene). Poor assistant guy and his crummy useless hand. I admit I was intrigued to see what the mysterious 'thing' was behind the door, but when it appeared, I just laughed. HA HA HA!! The girl really seemed sadistically angry about being revived. Personally, I really would want a new body after an excruciating experience like that!';
Negative;"the only thing great about the movie is its title. In this case, 'Snake On a Plane' is example of not judging the book by its cover, the title says nothing about the movie. When I went to the theater, I wasn't expecting Citizen Kane, I was expecting Independence Day, a movie that's pure popcorn fun, but instead, I got that horrible Roy Liotta movie called ' Turbulence' Yes, this is how bad SOAP is. The only thing make SOAP better is its title. And it's not even the apporiate title for the movie, the wasn't even a glimpse of 'snake' or 'plane' 40 minutes into the movie! What a false advertising! If it wasn't for its title, SOAP would be just another unforgettable cheap B-grade summer movie. And the R rating? It has to be the most undeserved R rated movie of all time! The makers of the movie only add a few f word to make this a R, All of the violence are kept pg-13 level. You know what's really R rated? The R rated superstar Edge! See him at Summerslam instead of waste your money on a snake!';
Negative;"One of my sisters friends lent me this game, and it is too damn hard! It carries the appearance of a kids game, but you have to learn how to do tons of intricate moves that require you to twist and turn your hands into all sorts of awkward positions, and you have to search seemingly endless levels for 100 notes, to improve your'score'! You also have to find these impossibly hidden jigsaw puzzle pieces, that require you to do almost impossible tasks to get them! AND I AM ONLY UP TO STAGE THREE!!!!! Maybe if you have no life nad can stay home all the time you might get some enjoyment out of this, but otherwise keep away! AND IT IS DEFINATELY NOT RECOMMENDED FOR KIDS - THEY WILL PULL THEIR HAIR OUT WITHIN THE HOUR!';
Negative;"Hanna-Barbera sucks the life out of another famous property. The violence is watered down, the stories are formulaic, the animation is bad, the music is obnoxious and repetitive, and frankly, the show just isn't funny.  At the time, H-B put every one of its series through the same clich̩d situations, regardless if it fit the world of the cartoon or not. Thus, Popeye and Bluto appear in a recurring segment as cavemen ('Hey! Popeye is popular, and the Flinstones are popular. Put'em together, and you can't miss!'). Also, in an apparent ripoff of 'Private Benjamin,' Olive Oyl and the Goon have a regular segment that features them as new army recruits. Seriously! Why?   Adding to the annoyance factor are the public service announcements in every episode (standard practice at the time for cartoons, but still annoying). Popeye lectures his nephews on crossing the street safely, recycling, and - are you ready for this? - the dangers of smoking! (I swear I'm not making that up.)  The only charm remaining from the original cartoons is that Jack Mercer, the voice of Popeye from the early days, continues the role here.  Worth checking out once just to get a new appreciation for the old Fleischer shorts. Otherwise, avoid at all costs.';
